Date,DOW,Month,Title,Receipts,Zinz,Composer,Author
1790-12-09,Thu,Dec,L'arbore di Diana,11071,FALSE,Martín y Soler,Da Ponte
1790-12-11,Sat,Dec,Il re Teodoro in Venezia,9448,FALSE,Paisiello,Casti
1790-12-13,Mon,Dec,Gli equivoci,9475,FALSE,Storace,Da Ponte
1790-12-15,Wed,Dec,La molinara,26160,FALSE,Paisiello,Palomba
1790-12-17,Fri,Dec,La molinara,15534,FALSE,Paisiello,Palomba
1790-12-27,Mon,Dec,Il talismano,19776,FALSE,Salieri,Da Ponte
1790-12-29,Wed,Dec,Il talismano,12266,FALSE,Salieri,Da Ponte
1790-12-31,Fri,Dec,La molinara,17182,FALSE,Paisiello,Palomba
1791-01-02,Sun,Jan,Il talismano,21542,FALSE,Salieri,Da Ponte
1791-01-04,Tue,Jan,Le nozze di Figaro,14778,TRUE,Mozart,Da Ponte
1791-01-06,Thu,Jan,L'arbore di Diana,17164,FALSE,Martín y Soler,Da Ponte
1791-01-08,Sat,Jan,Una cosa rara,13622,FALSE,Martín y Soler,Da Ponte
1791-01-10,Mon,Jan,La pastorella nobile,15382,TRUE,Guglielmi,Zini
1791-01-14,Fri,Jan,Il talismano,11138,FALSE,Salieri,Da Ponte
1791-01-16,Sun,Jan,Il re Teodoro in Venezia,11769,FALSE,Paisiello,Casti
1791-01-18,Tue,Jan,La molinara,19317,FALSE,Paisiello,Palomba
1791-01-20,Thu,Jan,Le nozze di Figaro,11051,FALSE,Mozart,Da Ponte
1791-01-22,Sat,Jan,Gli equivoci,9087,TRUE,Storace,Da Ponte
1791-01-24,Mon,Jan,La cifra,10255,FALSE,Salieri,Da Ponte
1791-01-26,Wed,Jan,L'arbore di Diana,10658,FALSE,Martín y Soler,Da Ponte
1791-01-28,Fri,Jan,La molinara,16581,FALSE,Paisiello,Palomba
1791-01-30,Sun,Jan,Il talismano,9602,FALSE,Salieri,Da Ponte
1791-02-01,Tue,Feb,La cifra,9145,FALSE,Salieri,Da Ponte
1791-02-03,Thu,Feb,L'arbore di Diana,8872,FALSE,Martín y Soler,Da Ponte
1791-02-05,Sat,Feb,L'arbore di Diana,6097,FALSE,Martín y Soler,Da Ponte
1791-02-07,Mon,Feb,Una cosa rara,9511,FALSE,Martín y Soler,Da Ponte
1791-02-09,Wed,Feb,Le nozze di Figaro,8718,TRUE,Mozart,Da Ponte
1791-02-11,Fri,Feb,La pastorella nobile,13112,TRUE,Guglielmi,Zini
1791-02-13,Sun,Feb,Il talismano,9781,FALSE,Salieri,Da Ponte
1791-02-15,Tue,Feb,La giardiniera innamorata,24149,TRUE,Guglielmi,Palomba
1791-02-17,Thu,Feb,La giardiniera innamorata,16950,TRUE,Guglielmi,Palomba
1791-02-19,Sat,Feb,Il re Teodoro in Venezia,7694,FALSE,Paisiello,Casti
1791-02-23,Wed,Feb,Il talismano,6098,FALSE,Salieri,Da Ponte
1791-02-25,Fri,Feb,Una cosa rara,9913,FALSE,Martín y Soler,Da Ponte
1791-02-27,Sun,Feb,La giardiniera innamorata,13878,FALSE,Guglielmi,Palomba
1791-03-01,Tue,Mar,La pastorella nobile,13456,FALSE,Guglielmi,Zini
1791-03-03,Thu,Mar,L'arbore di Diana,10801,TRUE,Martín y Soler,Da Ponte
1791-03-05,Sat,Mar,Il talismano,9201,FALSE,Salieri,Da Ponte
1791-03-07,Mon,Mar,La molinara,20601,TRUE,Paisiello,Palomba
